ngram,occ
operational_manual,13811.0
internal_external,13774.0
status_currency,13692.0
poverty_reduction_strategy,13689.0
adverse_effect,13673.0
status_approval_date,13620.0
middle_east,13609.0
positive_effect,13597.0
monitoring_reporting,13570.0
broad_range,13562.0
billion_billion,13549.0
social_safety_net,13539.0
intermediate_result_indicator,13532.0
vocational_training,13467.0
later_date,13432.0
consultant_accordance_provision,13420.0
internal_audit,13420.0
directly_indirectly,13381.0
north_south,13337.0
world_bank_street_telephone,13321.0
grow_rapidly,13314.0
analytical_work,13285.0
withdrawal_shall,13265.0
field_visit,13238.0
original_revise_cancel_disburse,13167.0
actual_mid_term,13143.0
detailed_description,13117.0
ensure_proper,13093.0
renewable_energy,13085.0
later_month_end,13062.0
role_play,13049.0
counterpart_fund,13016.0
living_condition,13000.0
natural_habitat,12983.0
drinking_water,12983.0
board_executive_director,12945.0
play_key,12943.0
property_right,12925.0
fully_disburse,12921.0
performance_official_duty,12889.0
surface_water,12882.0
land_tenure,12881.0
monitor_evaluate,12869.0
power_generation,12757.0
summarize_table,12733.0
electric_power,12704.0
decision_making_process,12696.0
external_audit,12687.0
content_disclose_world_bank,12671.0
work_non_consulting,12662.0
value_chain,12656.0
vast_majority,12619.0
formal_informal,12603.0
article_general_condition,12586.0
east_pacific,12520.0
health_safety,12487.0
mid_term,12486.0
safeguard_policy_trigger,12476.0
joint_venture,12458.0
status_document,12450.0
annex_page,12438.0
extent_possible,12424.0
public_disclosure_copy,12414.0
child_age,12401.0
remote_area,12362.0
consult_firm,12360.0
procurement_bid_document,12344.0
abbreviation_acronym,12324.0
private_sector_participation,12309.0
site_visit,12303.0
river_basin,12219.0
low_middle_income,12184.0
macroeconomic_stability,12183.0
safety_dam,12165.0
negatively_affect,12158.0
meeting_hold,12153.0
positive_negative,12139.0
cross_border,12118.0
civil_society_organization,12062.0
close_collaboration,11986.0
short_medium_term,11975.0
oil_price,11954.0
task_force,11935.0
assessment_natural_habitat,11926.0
financial_reporting,11885.0
raise_awareness,11860.0
university_press,11848.0
power_plant,11821.0
award_contract,11819.0
special_attention,11797.0
natural_gas,11782.0
millennium_development_goal,11771.0
financial_statement_audit,11765.0
middle_income,11752.0
focal_point,11692.0
affected_people,11655.0
recipient_performance,11643.0
selection_criterion,11613.0
legal_regulatory_framework,11593.0
legal_regulatory,11593.0
answer_question,11572.0
foreign_direct,11563.0
operation_manual,11535.0
consultant_short_list,11484.0
corrective_action,11459.0
energy_efficiency,11454.0
local_currency,11442.0
street_united_state,11441.0
policy_making,11406.0
accordance_provision_section,11399.0
supply_chain,11392.0
association_street_united,11367.0
prime_minister,11362.0
soon_possible,11318.0
mitigate_risk,11315.0
date_board_approval,11296.0
protect_area,11293.0
recurrent_cost,11286.0
financial_viability,11272.0
small_medium_enterprise,11271.0
starting_point,11210.0
contract_comprise_entirely,11198.0
transmission_line,11187.0
information_communication_technology,11172.0
amend_time,11136.0
official_duty_content_disclose,11126.0
qualification_experience,11123.0
closely_monitor,11099.0
annual_cumulative,11068.0
finance_proceed,11057.0
article_representative,11045.0
information_sharing,11025.0
standard_deviation,11018.0
donor_trust_fund,10991.0
distribution_network,10990.0
technical_expertise,10973.0
reference_combined_evaluation,10919.0
oil_gas,10911.0
air_pollution,10869.0
discount_rate,10858.0
dry_season,10835.0
satisfactory_association,10829.0
track_record,10828.0
social_welfare,10820.0
storage_facility,10806.0
health_nutrition,10763.0
designate_account,10735.0
executive_board,10733.0
right_way,10706.0
stakeholder_consultation,10663.0
soil_erosion,10653.0
demand_drive,10650.0
south_east,10648.0
contact_point,10643.0
motor_vehicle,10573.0
rely_heavily,10563.0
budget_execution,10559.0
competitive_bidding,10530.0
decision_subject_prior,10529.0
empirical_evidence,10502.0
middle_income_country,10496.0
petroleum_product,10494.0
discussion_paper,10456.0
eligible_expenditure,10450.0
corporate_governance,10440.0
sensitivity_analysis,10434.0
approval_previous_rating,10427.0
united_state_dollar,10413.0
effectiveness_date_orig,10412.0
face_challenge,10389.0
financial_intermediary,10386.0
board_approval,10370.0
financial_covenant,10366.0
life_cycle,10359.0
revenue_collection,10345.0
grievance_redress_mechanism,10322.0
bid_evaluation,10308.0
pro_poor,10297.0
fully_operational,10281.0
minimum_wage,10279.0
procedure_set_forth,10271.0
accordance_provision_article,10257.0
work_paper_series,10253.0
later_day,10244.0
input_output,10226.0
rating_previous_rating,10215.0
fraud_corruption,10192.0
small_medium,10146.0
matter_relate,10139.0
state_appendix_guideline,10120.0
emerge_market,10107.0
operating_expense,10090.0
solve_problem,10054.0
air_quality,10035.0
standard_living,10033.0
non_consult_service,10013.0
successfully_implement,10005.0
technical_specification,10005.0
life_expectancy,10000.0
previous_actual_current_end,9953.0
set_aside,9945.0
unemployment_rate,9939.0
family_planning,9892.0
constant_price,9886.0
job_opportunity,9878.0
better_understand,9868.0
commodity_price,9853.0
regional_vice_president,9850.0
fiscal_deficit,9810.0
science_technology,9791.0
machinery_equipment,9776.0
consultation_disclosure,9718.0
world_bank_guarantee_accuracy,9689.0
woman_man,9679.0
import_duty,9662.0
end_target_value,9661.0
evidence_suggest,9626.0
recurrent_expenditure,9605.0
macro_economic,9573.0
export_earning,9568.0
expenditure_incur,9567.0
account_deficit,9547.0
closely_link,9533.0
cash_crop,9528.0
post_open_national,9506.0
actual_previous_actual_current,9470.0
wide_variety,9458.0
disclosure_requirement,9451.0
young_people,9412.0
consulting_firm,9409.0
problem_arise,9395.0
rapid_expansion,9379.0
rainy_season,9363.0
single_stage,9333.0
statistically_significant,9317.0
rest_world,9315.0
semi_annual,9314.0
implement_entity,9306.0
set_forth_schedule,9297.0
progress_achieve,9297.0
reporting_requirement,9296.0
waste_disposal,9286.0
raise_question,9252.0
request_proposal_opening_technical,9241.0
category_rat,9229.0
resource_mobilization,9211.0
structural_change,9209.0
method_prior_review,9205.0
poor_vulnerable,9197.0
great_deal,9196.0
withdrawal_application,9194.0
selection_individual_consultant,9186.0
date_jun,9185.0
fast_grow,9159.0
anti_corruption,9147.0
adverse_environmental,9147.0
worth_note,9142.0
activity_reference_invitation,9140.0
structural_adjustment,9140.0
actual_draft_negotiate,9140.0
efficiency_gain,9121.0
despite_fact,9121.0
accordance_provision_schedule,9101.0
cash_transfer,9094.0
pollution_control,9085.0
publicly_available,9060.0
weighted_average,9048.0
value_add_tax,9037.0
democratic_republic,9033.0
direct_contracting,9025.0
treatment_plant,9020.0
promptly_need,9009.0
pave_way,8997.0
particular_attention,8992.0
contribute_significantly,8992.0
foreign_investor,8985.0
cross_section,8984.0
study_tour,8964.0
include_year_grace,8949.0
legal_right,8947.0
estimate_actual_expression,8936.0
hour_day,8926.0
various_currency_equivalent,8922.0
asset_liability,8901.0
vary_widely,8892.0
incremental_operating_cost,8876.0
monetary_policy,8876.0
proposal_negotiate_contract,8864.0
view_express,8825.0
acceptable_association,8820.0
define_general_condition,8817.0
currency_unit,8804.0
human_right,8803.0
newly_establish,8794.0
award_plan_actual,8789.0
brief_description,8758.0
qualification_draft_bidding_document,8754.0
invitation_issue_open_minute,8753.0
report_justification_notice,8753.0
labor_productivity,8746.0
disbursement_guideline,8738.0
systematic_operation,8734.0
affected_person,8728.0
time_reasonably_request,8719.0
recipient_shall,8711.0
public_disclosure,8706.0
participatory_approach,8704.0
irrigation_drainage,8702.0
refer_paragraph,8691.0
weight_average,8690.0
emergency_response,8675.0
land_acquisition_resettlement,8656.0
proposal_submission_description,8656.0
pay_attention,8652.0
international_cooperation,8650.0
open_national,8629.0
monthly_basis,8608.0
technical_advice,8605.0
date_revise_closing,8603.0
cultural_heritage,8589.0
